Match ID,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Team 1 Halftime Score,Team 2 Halftime Score,Halftime Lead,Side Picker,Side Picked,Team 1,Team 2
87,20,18,3,9,8,3,9,6,3,9,-6,Natus Vincere,Defense,KOI,Natus Vincere
88,13,3,3,10,0,2,1,0,10,2,8,GIANTX,Attack,FNATIC,GIANTX
88,13,11,7,6,0,6,5,0,6,6,0,FNATIC,Defense,FNATIC,GIANTX
89,4,13,2,2,0,3,10,0,2,10,-8,FUT Esports,Defense,Team Heretics,FUT Esports
89,9,13,8,1,0,9,4,0,8,4,4,Team Heretics,Attack,Team Heretics,FUT Esports
90,6,13,3,3,0,9,4,0,3,9,-6,Team Liquid,Defense,Team Liquid,Team Vitality
90,13,2,3,10,0,2,0,0,10,2,8,Team Vitality,Attack,Team Liquid,Team Vitality
90,10,13,3,7,0,5,8,0,7,5,2,Team Vitality,Attack,Team Liquid,Team Vitality
91,15,17,6,6,3,6,6,5,6,6,0,GIANTX,Defense,Natus Vincere,GIANTX
91,15,13,5,7,3,5,7,1,7,5,2,Natus Vincere,Defense,Natus Vincere,GIANTX
91,13,7,6,7,0,5,2,0,7,5,2,Natus Vincere,Defense,Natus Vincere,GIANTX
92,19,17,6,6,7,6,6,5,6,6,0,Karmine Corp,Defense,Karmine Corp,BBL Esports
92,13,11,9,4,0,8,3,0,9,3,6,BBL Esports,Defense,Karmine Corp,BBL Esports
93,10,13,5,5,0,7,6,0,5,7,-2,Team Liquid,Defense,Team Liquid,FUT Esports
93,13,6,7,6,0,1,5,0,7,5,2,FUT Esports,Defense,Team Liquid,FUT Esports
93,13,6,6,7,0,0,6,0,6,6,0,FUT Esports,Defense,Team Liquid,FUT Esports
94,9,13,7,2,0,8,5,0,7,5,2,KOI,Attack,KOI,Team Vitality
94,13,15,4,8,1,4,8,3,4,8,-4,Team Vitality,Defense,KOI,Team Vitality
95,6,13,3,3,0,9,4,0,3,9,-6,FNATIC,Defense,FNATIC,BBL Esports
95,13,9,5,8,0,4,5,0,8,4,4,BBL Esports,Attack,FNATIC,BBL Esports
95,13,11,6,7,0,5,6,0,6,6,0,BBL Esports,Defense,FNATIC,BBL Esports
96,13,5,9,4,0,2,3,0,9,3,6,Karmine Corp,Defense,Team Heretics,Karmine Corp
96,13,2,3,10,0,2,0,0,10,2,8,Team Heretics,Defense,Team Heretics,Karmine Corp
97,4,13,1,3,0,9,4,0,3,9,-6,Team Vitality,Defense,Team Vitality,FUT Esports
97,10,13,5,5,0,6,7,0,5,7,-2,FUT Esports,Defense,Team Vitality,FUT Esports
98,13,10,7,6,0,6,4,0,6,6,0,Natus Vincere,Defense,Natus Vincere,BBL Esports
