Match ID,Date,Team 1,Team 2,Map Name,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference
206,2024-05-12 04:00:00,Paper Rex,Gen.G,Icebox,7,6,6,5,False,2
206,2024-05-12 04:00:00,Paper Rex,Gen.G,Bind,6,3,7,6,False,-4
206,2024-05-12 04:00:00,Paper Rex,Gen.G,Split,5,8,1,7,False,5
207,2024-04-06 17:00:00,Cloud9,LEVIATÁN,Icebox,4,3,9,4,False,-6
207,2024-04-06 17:00:00,Cloud9,LEVIATÁN,Sunset,7,6,6,1,False,6
207,2024-04-06 17:00:00,Cloud9,LEVIATÁN,Ascent,7,5,7,5,True,2
208,2024-04-06 21:00:00,NRG Esports,LOUD,Breeze,8,5,7,3,False,3
208,2024-04-06 21:00:00,NRG Esports,LOUD,Sunset,10,3,0,2,False,11
209,2024-04-07 17:00:00,G2 Esports,Evil Geniuses,Lotus,7,6,6,2,False,5
209,2024-04-07 17:00:00,G2 Esports,Evil Geniuses,Icebox,4,9,3,0,False,10
210,2024-04-07 19:10:00,Sentinels,100 Thieves,Icebox,8,5,7,3,False,3
210,2024-04-07 19:10:00,Sentinels,100 Thieves,Split,7,6,1,5,False,7
211,2024-04-08 17:00:00,KRÜ Esports,FURIA,Lotus,10,3,5,2,False,6
211,2024-04-08 17:00:00,KRÜ Esports,FURIA,Icebox,7,4,8,5,False,-2
211,2024-04-08 17:00:00,KRÜ Esports,FURIA,Breeze,6,7,5,2,False,6
212,2024-04-13 17:00:00,G2 Esports,100 Thieves,Bind,5,4,8,5,False,-4
212,2024-04-13 17:00:00,G2 Esports,100 Thieves,Split,4,4,5,8,False,-5
213,2024-04-13 19:25:00,Sentinels,LEVIATÁN,Lotus,9,3,9,3,True,-2
213,2024-04-13 19:25:00,Sentinels,LEVIATÁN,Icebox,6,5,7,6,False,-2
214,2024-04-14 17:00:00,KRÜ Esports,MIBR,Icebox,7,6,1,5,False,7
214,2024-04-14 17:00:00,KRÜ Esports,MIBR,Sunset,6,7,5,3,False,5
215,2024-04-14 19:20:00,NRG Esports,FURIA,Split,10,3,0,2,False,11
215,2024-04-14 19:20:00,NRG Esports,FURIA,Breeze,7,6,6,2,False,5
216,2024-04-15 17:00:00,Cloud9,Evil Geniuses,Lotus,2,7,5,8,False,-4
216,2024-04-15 17:00:00,Cloud9,Evil Geniuses,Sunset,8,5,4,4,False,5
216,2024-04-15 17:00:00,Cloud9,Evil Geniuses,Split,3,10,2,2,False,9
217,2024-04-20 17:00:00,Sentinels,MIBR,Lotus,4,9,3,0,False,10
217,2024-04-20 17:00:00,Sentinels,MIBR,Bind,9,4,4,3,False,6
218,2024-04-20 19:30:00,Cloud9,LOUD,Bind,5,6,6,7,False,-2
218,2024-04-20 19:30:00,Cloud9,LOUD,Icebox,9,4,1,3,False,9
218,2024-04-20 19:30:00,Cloud9,LOUD,Lotus,6,7,3,6,False,4
219,2024-04-21 17:00:00,KRÜ Esports,Evil Geniuses,Lotus,10,3,3,2,False,8
219,2024-04-21 17:00:00,KRÜ Esports,Evil Geniuses,Breeze,5,8,4,5,False,4
220,2024-04-21 19:15:00,NRG Esports,LEVIATÁN,Sunset,2,2,3,10,False,-9
220,2024-04-21 19:15:00,NRG Esports,LEVIATÁN,Bind,1,3,2,11,False,-9
221,2024-04-22 17:00:00,G2 Esports,FURIA,Lotus,9,4,0,3,False,10
221,2024-04-22 17:00:00,G2 Esports,FURIA,Icebox,4,9,3,0,False,10
222,2024-04-22 19:00:00,Cloud9,100 Thieves,Bind,4,3,5,8,False,-6
222,2024-04-22 19:00:00,Cloud9,100 Thieves,Ascent,1,5,2,11,False,-7
223,2024-04-23 17:00:00,Sentinels,Evil Geniuses,Lotus,10,3,9,1,False,3
223,2024-04-23 17:00:00,Sentinels,Evil Geniuses,Bind,10,1,11,2,False,-2
223,2024-04-23 17:00:00,Sentinels,Evil Geniuses,Sunset,6,4,7,6,False,-3
224,2024-04-23 20:30:00,NRG Esports,MIBR,Split,7,6,4,5,False,4
224,2024-04-23 20:30:00,NRG Esports,MIBR,Breeze,4,9,3,0,False,10
225,2024-04-24 17:00:00,G2 Esports,LEVIATÁN,Breeze,2,4,3,10,False,-7
225,2024-04-24 17:00:00,G2 Esports,LEVIATÁN,Icebox,7,6,6,2,False,5
225,2024-04-24 17:00:00,G2 Esports,LEVIATÁN,Lotus,4,5,7,6,False,-4
226,2024-04-24 20:15:00,KRÜ Esports,LOUD,Split,8,5,7,1,False,5
226,2024-04-24 20:15:00,KRÜ Esports,LOUD,Ascent,6,7,5,3,False,5
